project,status,parent,operator,output,reserves,coal_type,coal_grade,type,workforce,country,region,url,lat,lng
Yinhe Coal Mine,operating,"Shaanxi Yulin Energy Group (43.05%), Shaanxi Investment Group (9.27%),China Datang (4.63%), Others (43.05%)",Shaanxi Yinhe Coal Industry Development Company,3,148,bituminous,thermal,underground,807,China,Asia,https://www.gem.wiki/Yinhe_Coal_Mine,38.467518,109.747789
Yining North No. 2 Coal Mine,operating,"China Qinghua Energy Group (57%), China Minsheng Investment Company (43%)",Yili Qinghua Energy Development Company,6,135,subbituminous,thermal,surface,382,China,Asia,https://www.gem.wiki/Yining_North_No.2_open-pit_mine,44.043887,81.468585
Yinxing No. 1 Coal Mine,operating,Ningxia Yinxing Coal Industry Company,Ningxia Yinxing Coal Industry Company,4,521,bituminous,thermal,underground,1530,China,Asia,https://www.gem.wiki/Yinxing_No.1_Coal_Mine,37.733154,106.679463
Yinxing No. 2 Coal Mine,operating,China Energy,China Guodian Yinlite Energy & Chemical Group,1.8,272,bituminous,thermal,underground,1486,China,Asia,https://www.gem.wiki/Yinxing_No.2_Coal_Mine,37.819101,106.333524
Yinying Coal Mine,operating,Shanxi Zhenghua Industrial Group,Shanxi Zhenghua Industrial Group,2.4,167,anthracite,thermal,underground,1844,China,Asia,https://www.gem.wiki/Yinying_Coal_Mine,37.946277,113.556055
Yinyuan Xingqing Coal Mine,operating,Yongtai Technology Investment Company,Shanxi Lingshi Yinyuan Xingqing Coal Industry Company,0.9,63,bituminous,thermal_and_met,underground,745,China,Asia,https://www.gem.wiki/Yinyuan_Xingqing_Coal_Mine,36.934065,111.617386
Yishun Coal Mine,operating,Shanxi Xiyi Energy Group,Shanxi Xiyi Energy Group,1.8,110,bituminous,thermal,underground,173,China,Asia,https://www.gem.wiki/Yishun_Coal_Mine,39.545491,112.353152
Yitai Baoshan Coal Mine,operating,Inner Mongolia Yitai Investment,Inner Mongolia Yitai Baoshan Coal Company,1.8,12,bituminous,thermal,underground,25,China,Asia,https://www.gem.wiki/Yitai_Baoshan_Coal_Mine,39.453893,110.371276
Yitai Yili Coal Mine,proposed,Inner Mongolia Yitai Investment Company,Yitai Yili Mining Company,4.5,825,bituminous,thermal,underground_and_surface,154,China,Asia,https://www.gem.wiki/Yitai_Yili_coal_mine,43.588212,81.510551
Yitang Anyi Coal Mine,operating,Shanxi Kaijia Investment Company,Shanxi Jiexiu Yitang Anyi Coal Industry Company,0.9,31,bituminous,met,underground,1184,China,Asia,https://www.gem.wiki/Yitang_Anyi_Coal_Mine,36.991526,111.809367
Yitang Changyuan Coal Mine,operating,Shanxi Kaijia Investment Company,Shanxi Jiexiu Yitang Changyuan Coal Industry Company,0.9,20,bituminous,,underground,1401,China,Asia,https://www.gem.wiki/Yitang_Changyuan_Coal_Mine,37.002565,112.12064
Yitang Chengfeng Coal Mine,operating,Shanxi Kaijia Investment Company,Shanxi Jiexiu Yitang Chengfeng Coal Industry Company,0.9,15,bituminous,thermal_and_met,underground,1023,China,Asia,https://www.gem.wiki/Yitang_Chengfeng_Coal_Mine,36.987805,111.859623
Yitang Coal Mine,operating,Shanxi Kaijia Investment Company,Shanxi Yitang Coal Industry Company,1.8,95,bituminous,thermal_and_met,underground,1830,China,Asia,https://www.gem.wiki/Yitang_Coal_Mine,37.017598,111.824439
Yitang Qingyun Coal Mine,operating,Shanxi Kaijia Investment Company,Shanxi Jiexiu Yitang Qingyun Coal Industry Company,0.9,13,bituminous,met,underground,845,China,Asia,https://www.gem.wiki/Yitang_Qingyun_Coal_Mine,37.044127,112.101034
