project,status,parent,operator,output,reserves,coal_type,coal_grade,type,workforce,country,region,url,lat,lng
Huale Coal Mine,operating,Guizhou Panjiang Coal and Electricity Group,Liupanshui Huale Coal Industry Company,0.9,540,bituminous,,underground,,China,Asia,https://www.gem.wiki/Huale_Coal_MIne,26.503592,105.2108
Huale Coal Mine,proposed,Guizhou Panjiang Coal and Electricity Group,Liupanshui Huale Coal Industry Company,2.1,,bituminous,,underground,,China,Asia,https://www.gem.wiki/Huale_Coal_MIne,26.503592,105.2108
Huamei Aofengxi Coal Mine,operating,Hong Kong Qinfa International Trading Company,Shanxi Shuozhou Pinglu District Huamei Aofengxi Coal Industry Company,0.9,44,bituminous,thermal,underground,397,China,Asia,https://www.gem.wiki/Huamei_Aofengxi_Coal_Mine,39.489683,112.47175
Huangbaici Coal Mine,operating,China Energy,Shenhua Group Wuda Huangbaici Mining Industry Company,1.8,52,bituminous,met,underground,927,China,Asia,https://www.gem.wiki/Huangbaici_Coal_Mine,39.535282,106.650268
Huanghaojie Coal Mine,proposed,Shaanxi Taifaxiang Industrial Group,Shaanxi Yuansheng Coal Industry Company,3,255,bituminous,,underground,,China,Asia,https://www.gem.wiki/Shaanxi_Huanghaojie_Coal_Mine,38.226356,109.483759
Huangjiagou Coal Mine,operating,China Guoxin Holdings,Shanxi Xing County China Resources Liansheng Huangjiagou Coal Industry Company,1.2,25,bituminous,met,underground,1089,China,Asia,https://www.gem.wiki/Huangjiagou_Coal_Mine,37.727901,111.113886
Huanglian Coal Mine,operating,Yangcheng County Huangcheng Xiangfu Group Industrial Company,Shanxi Yangcheng Huangcheng Xiangfu Group Huanglian Coal Industry Company,1.2,26,anthracite,thermal,underground,855,China,Asia,https://www.gem.wiki/Huanglian_Coal_Mine,35.534794,112.580733
Huangling Jianzhuang Coal Mine,operating,"Shaanxi Coal and Chemical Industry Group (25%), China Huadian (21%), China Energy (30%), Others (24%)",Shaanxi Coal Industry Group Huangling Jianzhuang Mining Company,5,183,bituminous,,underground,842,China,Asia,https://www.gem.wiki/Huangling_Jianzhuang_Coal_Mine,35.390535,108.919611
Huangling No. 1 Coal Mine,operating,Shaanxi Coal and Chemical Industry Group,Huangling Mining Company,6,286,bituminous,thermal,underground,4098,China,Asia,https://www.gem.wiki/Huangling_No.1_Coal_Mine,35.656136,109.064794
Huangling No. 2 Coal Mine,operating,"Shaanxi Coal and Chemical Industry Group (34%), Jiangsu Yueda Group (45%), Industrial and Commercial Bank of China (21%)",Shaanxi Huangling No.2 Coal Mine Company,8,558,bituminous,,underground,1300,China,Asia,https://www.gem.wiki/Huangling_No.2_Coal_Mine,35.661062,108.91871
Huangtupo Xinneng Coal Mine,operating,Shanxi Huangtupo Coal Industry Group,Shanxi Huangtupo Xinneng Coal Industry Company,1.2,89,bituminous,thermal_and_met,underground,84,China,Asia,,36.813922,112.200761
Huangtupo Xinyun Coal Mine,closed,Shanxi Huangtupo Coal Industry Group,Shanxi Huangtupo Xinyun Coal Industry Company,0.9,25,bituminous,thermal_and_met,underground,656,China,Asia,https://www.gem.wiki/Huangtupo_Xinyun_Coal_Mine,36.795611,112.206543
Huangyuchuan Coal Mine,operating,"China Energy (37%), Elion Group (49%), Others (14%)",China Energy Elion Energy Company,13,926,bituminous,thermal,underground,191,China,Asia,https://www.gem.wiki/Huangyuchuan_mine,39.67209,111.183497
Huaning Coal Mine,operating,China Coal (51%) Shanxi Xiangning Coking Coal Group (49%),Shanxi Huaning Coking Coal Company,3,200,bituminous,thermal_and_met,underground,1099,China,Asia,https://www.gem.wiki/Huaning_Coal_Mine,35.785958,110.705127
Huanxian Mafuchuan Coal Mine,proposed,China Datang,Gansu Huaneng Tianjun Energy Company,5,647,bituminous,thermal,underground,,China,Asia,https://www.gem.wiki/Huanxian_Mafuchuan_Coal_Mine,36.435069,106.712419
Huaqin Coal Mine,operating,"Shaanxi Yongfeida Trading Company (45%), Fugu County Stateowned Assets Operation Company (32.12%), Shaanxi Investment Group (17.6%), Shaanxi Provincial Electric Power Group (5.28%)",Fugu County Huaqin Coal Mine Company,0.9,24,bituminous,,underground,50,China,Asia,https://www.gem.wiki/Huaqin_Coal_Mine,39.248583,110.567215
Huarong Longgong Coal Mine,operating,Shandong Huarong Holding Group,Shanxi Huarong Longgong Coal Industry Company,0.9,36,bituminous,thermal,underground,408,China,Asia,https://www.gem.wiki/Huarong_Longgong_Coal_Mine,38.931264,112.482774
Huarui Coal Mine,operating,Beijing Huarui Century Holding Group,Beijing Huarui Century Energy Investment Company,3,81,bituminous,met,surface,418,China,Asia,https://www.gem.wiki/Huarui_Coal_Mine,36.967822,111.481275
Huashan Coal Mine,operating,Sichuan Coal Industry Group,Panzhihua Coal Industry Group Huashan Coal Mine,1.8,63,bituminous,met,underground,2095,China,Asia,https://www.gem.wiki/Huashan_Coal_Mine,26.59378,101.571885
Huashengrong Coal Mine,operating,Changzhi Nanye Industrial Group,Shanxi Huashengrong Coal Mine Company,2.1,87,bituminous,thermal,underground,1439,China,Asia,https://www.gem.wiki/Huashengrong_Coal_Mine,36.060191,112.971421
Huating Coal Mine,operating,China Huaneng,Gansu Huating Coal and Electricity Company,3.3,216,bituminous,thermal,underground,2323,China,Asia,https://www.gem.wiki/Huating_Coal_Mine,35.222153,106.67059
Huatugou Coal Mine,operating,Inner Mongolia Hedong Energy Group,Inner Mongolia Jungar Banner Meiri Coal Company,1.2,42,bituminous,thermal,underground,267,China,Asia,https://www.gem.wiki/Huatugou_Coal_Mine,39.350205,110.586018
Huaxia Coal Mine,operating,Shanxi Shanyin Huaxia Coal Industry Company,Shanxi Shanyin Huaxia Coal Industry Company,3,178,bituminous,thermal,underground,22,China,Asia,https://www.gem.wiki/Huaxia_Coal_Mine,39.712192,112.734242
Huaye Coal Mine,operating,Lin County Huaye Energy Company,Shanxi Lin County Huaye Coal Industry Company,1.2,56,bituminous,met,underground,739,China,Asia,https://www.gem.wiki/Huaye_Coal_Mine,37.651636,110.887129
Huayi Wuyi Coal Mine,operating,Lu'an Chemical Group,Shanxi Lu'an Group Huayi Wuyi Coal Industry Company,0.9,,bituminous,thermal_and_met,underground,489,China,Asia,https://www.gem.wiki/Huayi_Wuyi_Coal_Mine,36.55402,112.164325
Huaying Jintaiyuan Coal Mine,operating,Yongtai Technology Investment Company,Shanxi Lingshi Huaying Jintaiyuan Coal Industry Company,1.2,27,bituminous,met,underground,689,China,Asia,https://www.gem.wiki/Huaying_Jintaiyuan_Coal_Mine,36.87049,111.697935
Huhewusu Coal Mine,operating,Mengfa Energy Holding Group,Inner Mongolia Mengfa Coal Company,1.2,20,bituminous,thermal,underground,212,China,Asia,https://www.gem.wiki/Huhewusu_Coal_Mine,39.379371,110.148352
Hui'an Coal Mine,operating,Zhongyang County Taoyuan Cement Company,Shanxi Xinzhou Shenda Hui'an Coal Industry Company,1.8,27,bituminous,thermal,underground,274,China,Asia,https://www.gem.wiki/Hui%27an_Coal_Mine,39.374032,111.328433
Hui'an Coal Mine II,proposed,"Ningxia Haosheng Industry Group (51%), Ningxia Xingjun Energy Development Company (49%)",Ningxia Haosheng Sunshine Energy,1.5,147,bituminous,thermal,underground,,China,Asia,https://www.gem.wiki/Hui%27an_Coal_Mine,37.365278,106.7575
Huibao Coal Mine,operating,Shaanxi Hongrui Investment Group,Shenmu City Huibao Coal Industry Company,2.4,101,bituminous,thermal,underground,427,China,Asia,https://www.gem.wiki/Huibao_Coal_Mine,39.054008,110.187305
Huilong Surface Mine,operating,"Hengdong Energy Group (83.61%), Others (16.39%)",Inner Mongolia Hengdong Huilong Coal Company,6,93,bituminous,thermal,surface,183,China,Asia,https://www.gem.wiki/Huilong_Surface_Mine,39.479599,111.230021
Huineng Coal Mine,operating,Shanxi Huifeng Investment Company,Shanxi Pingding Huineng Coal Industry Company,1.8,70,anthracite,thermal,underground,393,China,Asia,https://www.gem.wiki/Huineng_Coal_Mine,37.72107,113.622092
Huipodi Coal Mine,operating,Shanxi Coking Coal Group,Shanxi Fenhe Coking Coal Company Huipodi Coal Mine,1.2,146,bituminous,met,underground,2353,China,Asia,https://www.gem.wiki/Huipodi_Coal_Mine,36.44403,111.519976
Hujiahe Coal Mine,mothballed,"Shaanxi Coal and Chemical Industry Group (45%), China Development Bank (6%), Others (49%)",Shaanxi Binchang Hujiahe Mining Company,4.5,395,bituminous,thermal,underground,2080,China,Asia,https://www.gem.wiki/Shaanxi_Hujiahe_Coal_Mine,35.149375,107.933254
Hulonggou Coal Mine,operating,Jinneng Group,Datong Coal Mining Group Wajinwan,3,21,bituminous,thermal,underground,1208,China,Asia,https://www.gem.wiki/Hulonggou_Coal_Mine,39.910604,112.996041
Hulun Buir Yaxing Coal Mine No. 1 Well,operating,Shandong Energy,Inner Mongolia Yakeshi Wujiu Coal Group Yaxing Branch,1.5,11,bituminous,thermal,underground,1106,China,Asia,https://www.gem.wiki/Hulun_Buir_Yaxing_Coal_Mine_No.1_Well,49.064355,120.861967
Hulusu Coal Mine,operating,"China Coal (38%), Sinopec (38%), Shenergy (13%), Manshi Group (10%), Others (1%)",Zhongtian Hechuang Energy Company,8,1624,bituminous,thermal,underground,634,China,Asia,https://www.gem.wiki/Hulusu_coal_mine,39.047968,109.500809
Huneng Dingjialiang Coal Mine,operating,Ordos Huneng Coal Group,Ordos Huneng Coal Group,1.5,26,bituminous,thermal,underground,798,China,Asia,https://www.gem.wiki/Huneng_Dingjialiang_Coal_Mine,39.437952,110.366867
Huobaoganhe Coal Mine,operating,China Baowu Steel Group,Huozhou Coal and Electricity Group,1.8,55,bituminous,met,underground,2418,China,Asia,https://www.gem.wiki/Huobaoganhe_Coal_Mine,36.482283,111.669538
Huoerxinhe Coal Mine,operating,Shanxi Coking Coal Group,Shanxi Huo'erxinhe Coal Industry Company,4,181,bituminous,thermal,underground,1953,China,Asia,https://www.gem.wiki/Huoerxinhe_Coal_Mine,36.102877,112.924414
Huojitu Well Of Daliuta Coal Mine,operating,"China Energy (69%), HKSCC Nominees Limited (17%), Others (14%)",China Shenhua Energy,15,624,subbituminous,thermal,underground,536,China,Asia,https://www.gem.wiki/Huojitu_Well_of_Daliuta_Coal_Mine,39.259312,110.224368
Huolinhe North Surface Mine No. 1,operating,"State Power Investment Corporation (SPIC) (38.49%), Inner Mongolia Huolinhe Coal Industry Group (26.47%), Others (35.04%)",Huolinhe Opencut Coal Industry Corporation Limited Of Inner Mongolia,3,,lignite,thermal,surface,1049,China,Asia,https://www.gem.wiki/Huolinhe_North_Surface_Mine,45.536522,119.609267
Huolinhe North Surface Mine No. 2,operating,"State Power Investment Corporation (SPIC) (38.49%), Inner Mongolia Huolinhe Coal Industry Group (26.47%), Others (35.04%)",Huolinhe Opencut Coal Industry Corporation Limited Of Inner Mongolia,3,,lignite,thermal,surface,990,China,Asia,https://www.gem.wiki/Huolinhe_North_Surface_Mine,45.536522,119.609267
Huolinhe North Surface Mine No. 3,operating,"State Power Investment Corporation (SPIC) (38.49%), Inner Mongolia Huolinhe Coal Industry Group (26.47%), Others (35.04%)",Huolinhe Opencut Coal Industry Corporation Limited Of Inner Mongolia,4,,lignite,thermal,surface,740,China,Asia,https://www.gem.wiki/Huolinhe_North_Surface_Mine,45.536522,119.609267
Huolinhe South Surface Mine,operating,"State Power Investment Corporation (SPIC) (39%), Huolinhe Coal Industry Group (26%), Others (35%)",Inner Mongolia Huolinhe OpenPit Coal Industry Company,18,597,lignite,thermal,surface,951,China,Asia,https://www.gem.wiki/South_surface_mine,45.496018,119.594395
Huoluowan Coal Mine,operating,China Energy,Shendong Tianlong Group,3.8,58,bituminous,thermal,underground,284,China,Asia,https://www.gem.wiki/Huoluowan_Coal_Mine,39.442523,110.034952
Huoshaopu Coal Mine,operating,Guizhou Panjiang Coal and Electricity Group,Guizhou Panjiang Refined Coal Company,1.8,319,bituminous,met,underground,3807,China,Asia,https://www.gem.wiki/Huoshaopu_Coal_Mine,25.662385,104.412744
Huoshaopu Yinhe Well Area Coal Mine,shelved,Guizhou Panzhou Yinhe Mining Company,Guizhou Panzhou Yinhe Mining Company,0.6,19,bituminous,met,underground,626,China,Asia,https://www.gem.wiki/Huoshaopu_Yinhe_Well_Area_Coal_Mine,25.709,104.405143
Huoshizui Coal Mine,operating,Hebei Zhongda Group,Shaanxi Huoshizui Coal Mine Company,3,,bituminous,thermal,underground,2550,China,Asia,https://www.gem.wiki/Huoshizui_Coal_Mine,35.068148,108.06339
Husheng Coal Mine,operating,Shenyang Coal Industry Group,Hulunbuir Husheng Mining Company,1.8,75,lignite,thermal,underground,428,China,Asia,https://www.gem.wiki/Husheng_Coal_Mine,49.433452,119.796973
"Hutubi Coal Diversified Business Company,Limited Xiaogangou Coal Mine",operating,Hutubi Coal Diversified Business Company,Hutubi Coal Diversified Business Company,1.5,23,bituminous,thermal,underground,288,China,Asia,"https://www.gem.wiki/Hutubi_Coal_Diversified_Business_Company,_Ltd._Xiaogangou_Coal_Mine",43.807761,86.35212
Inner Mongolia Erlintu Coal Mine,operating,"Inner Mongolia Huineng Coal and Electricity Group (55%), Shenmu Taide Energy Investment Company (17%), Inner Mongolia Kaiyuan Shiye Group (10%), Shendong Tianlong Group (9%), Erdos Jiuyuan Investment Company (2%), Others (7%)",Inner Mongolia Huineng Group Er Lin Tu Coal Company,8,913,bituminous,thermal,underground,238,China,Asia,https://www.gem.wiki/Inner_Mongolia_Erlintu_mine,39.217439,110.006028
"Inner Mongolia Haihua Coal Company,Limited Jiangmu Tunan Well",proposed,Zhonghai Shengfeng (Beijing) Capital Management Company,Inner Mongolia Haihua Coal Company,1.2,64,bituminous,thermal,surface,,China,Asia,,40.030282,109.856628
Inner Mongolia Yingjun No.1 Coal Mine,proposed,National Energy Investment Group,Inner Mongolia Weihua Mining Company,6,971,bituminous,thermal,underground,,China,Asia,,38.270833,106.837222
Inner Mongolia Yuantong Changfu Surface Mine,operating,Inner Mongolia Yuantong Coal Group,Inner Mongolia Yuantong Changfu Coal Industry Company,1.5,7,bituminous,met,surface,335,China,Asia,https://www.gem.wiki/Inner_Mongolia_Yuantong_Changfu_Surface_Mine,39.443556,106.928247
Ji'anda Coal Mine,operating,Shanxi Zhaolin Industrial Company,Shanxi Luhe Group Ji'anda Coal Industry Company,1.2,45,bituminous,met,underground,659,China,Asia,https://www.gem.wiki/Ji%27anda_Coal_Mine,36.450958,111.41258
Jiadong Coal Mine,operating,Jizhong Energy Group,Ordos Jiadong Coal Industry Company,2.1,24,bituminous,thermal,surface,49,China,Asia,https://www.gem.wiki/Jiadong_Coal_Mine,39.758949,110.196901
Jiaguo Coal Mine,proposed,"Shanxi Coking Coal Group (30.32%), China Cinda Asset Management Company(18.36%), China Huarong Asset Management Company (1.43%), China Construction Bank (1.14%), Shanxi Qinxin Energy Group (49%）",Shanxi Fenxi Zhengxin Coking Coal Company,1.8,93,bituminous,met,underground,,China,Asia,https://www.gem.wiki/Jiaguo_Coal_Mine,36.941878,112.1546
Jiajiagou Coal Mine,operating,Shanxi Datuhe Coking Company,Shanxi Luliang Lishi Jiajiagou Coal Industry Company,1,64,bituminous,thermal_and_met,underground,639,China,Asia,https://www.gem.wiki/Jiajiagou_Coal_Mine,37.472113,111.19791
Jiangcang No. 1 Coal Mine,shelved,"Qinghai Aokai Coal Industry Development Group (49%), Jizhong Energy Group (48.28%), China Huarong Asset Management Company (2.72%)",Qinghai Zhong Ao Energy Development Company,0.9,67,bituminous,met,underground,75,China,Asia,https://www.gem.wiki/Jiangcang_No.1_Coal_Mine,38.113457,99.178223
Jiangcang No. 2 Coal Mine,shelved,"Zhenpeng Yuxiao (Shanghai) Industrial Development Company (98%), Qinghai Jiesen Group Mineral Resources Exploration and Development Company (2%)",Qinghai Coking Coal Industry Group,0.9,,bituminous,met,underground,,China,Asia,https://www.gem.wiki/Jiangcang_No.2_Coal_Mine,38.132669,99.143976
Jiangcang No. 5 Coal Mine,shelved,"Zhejiang Taihui Industrial Company(51%), Qinghai Aokai Coal Industry Development Group (49%)",Qinghai Shengxiong Mining Industry Company,0.9,,bituminous,met,underground,50,China,Asia,https://www.gem.wiki/Jiangcang_No.5_Coal_Mine,38.126271,99.099851
Jiangjun Gebi No. 2 Coal Mine,operating,"Tebian Electric Apparatus (TBEA) (86%), Xinjiang Joinworld Company (14%)",Xinjiang Tianchi Energy,25,220,bituminous,thermal,surface,316,China,Asia,https://www.gem.wiki/Jiangjun_Gebi_No.2_Surface_Mine,44.650514,90.12045
Jiangyuan Coal Mine,operating,Jilin Energy Investment Group,Jilin Jiangyuan Coal Industry Company,0.9,20,bituminous,met,underground,1632,China,Asia,https://www.gem.wiki/Jiangyuan_Coal_Mine,41.999992,126.554613
Jiangzhuang Coal Mine,operating,Shandong Energy,Zaozhuang Mining Group,2.75,19,bituminous,met,underground,3024,China,Asia,https://www.gem.wiki/Jiangzhuang_Coal_Mine,34.93321,117.051452
Jianxin Coal Mine,operating,Shaanxi Coal and Chemical Industry Group,Shaanxi Jianxin Coal Chemical Company,4,93,bituminous,thermal,underground,1023,China,Asia,https://www.gem.wiki/Jianxin_Coal_Mine,35.563016,109.023145
Jianyuan Coal Mine,operating,Hongxing International Development Company,Otog Banner Jianyuan Coking Company,5,261,bituminous,,underground,575,China,Asia,https://www.gem.wiki/Jianyuan_Coal_Mine,39.342871,106.995121
Jiaochangping Coal Mine,operating,Shanxi Jiaochangping Energy Industry Group,Shanxi Youyu Jiaochangping Coal Industry Company,1.2,14,bituminous,thermal_and_met,underground,227,China,Asia,https://www.gem.wiki/Jiaochangping_Coal_Mine,39.7409,112.599561
Jiaochangpiung Yuling Coal Mine,operating,Shanxi Jiaochangping Energy Industry Group,Shanxi Jiaochangping Group Yuling Coal Industry Company,0.9,30,bituminous,met,underground,307,China,Asia,https://www.gem.wiki/Jiaochangpiung_Yuling_Coal_Mine,39.7416,112.597925
Jiaojiagou Coal Mine,operating,Shaanxi Zhongda Investment Company,Zichang County Zhongda Jiaojiagou Coal Industry Company,1.2,48,bituminous,thermal_and_met,underground,570,China,Asia,https://www.gem.wiki/Jiaojiagou_Coal_Mine,37.150793,109.589561
Jiaojiazhai Coal Mine,operating,Jinneng Group,Jinneng Holding Coal Industry Group Xuangang Coal and Electricity Company,1.5,151,bituminous,thermal,underground,1742,China,Asia,https://www.gem.wiki/Jiaojiazhai_Coal_Mine,38.867473,112.393144
Jiaozishan Coal Mine,proposed,Henan Energy Chemical Group,Yonggui Energy Development Company,0.6,11,anthracite,thermal,underground,816,China,Asia,https://www.gem.wiki/Jiaozishan_Coal_Mine,26.370704,105.940753
Jiaxinde Coal Mine,operating,Jizhong Energy Group,Ordos Jiaxinde Coal Industry Company,3,62,bituminous,thermal,surface,166,China,Asia,https://www.gem.wiki/Jiaxinde_Coal_Mine,39.845356,110.048793
Jiayang Coal Mine,operating,Sichuan Coal Industry Group,Sichuan Jiayang Group Jiayang Coal Mine,1.2,39,bituminous,met,underground,1486,China,Asia,https://www.gem.wiki/Jiayang_Coal_Mine,29.266922,103.81697
Jidong Coal Mine,operating,Shenyang Coal Industry Group,Shenyang Coking Coal Jixi Shenglong Mining Company Jidong Coal Mine,1.5,29,bituminous,thermal,underground,1835,China,Asia,https://www.gem.wiki/Jidong_Coal_Mine,45.266954,131.112876
Jiegou Coal Mine,operating,Suzhou Coal Power Group,Suzhou Coal Power Group,1.4,64,bituminous,met,underground,2451,China,Asia,https://www.gem.wiki/Jiegou_Coal_Mine,33.487114,116.646339
Jiexiu Delong Coal Mine,operating,Shanxi Luxin Energy Group,Shanxi Jiexiu Xinyugou Delong Coal Industry Company,0.9,17,bituminous,met,underground,401,China,Asia,https://www.gem.wiki/Jiexiu_Delong_Coal_Mine,37.057967,112.140925
Jiexiu Nanyaotou Coal Mine,operating,Shanxi Jiexiu Dafosi Coal Industry Company,Jiexiu Nanyaotou Coal Mine Company,0.9,27,bituminous,met,underground,239,China,Asia,https://www.gem.wiki/Jiexiu_Nanyaotou_Coal_Mine,37.010156,112.144534
Jiexiu Xinyugou Coal Mine,operating,Shanxi Luxin Energy Group,Shanxi Jiexiu Xinyugou Coal Industry Company,0.9,14,bituminous,met,underground,687,China,Asia,https://www.gem.wiki/Jiexiu_Xinyugou_Coal_Mine,37.056551,112.118418
Jiexiu Zuozegou Coal Mine,operating,Shanxi Luxin Energy Group,Shanxi Jiexiu Xinyugou Zuozegou Coal Industry Company,0.9,8,bituminous,met,underground,955,China,Asia,https://www.gem.wiki/Jiexiu_Zuozegou_Coal_Mine,37.032507,112.074091
Jijiajing Xinqiao Coal Mine,proposed,HKSCC Nominees Limited,Ningxia Xinqiao Energy Development Company,2.4,210,bituminous,thermal,underground,1000,China,Asia,https://www.gem.wiki/Jijiajing_Xinqiao_Coal_Mine,37.453589,106.675872
Jilangde Coal Mine,operating,"China Coal (46%), Ningbo Hesheng Group (20%), Xinjiang Coal Trading Center Company (10%), Others (24%)",Hami Hexiang Industry and Trade Company,3,225,subbituminous,thermal,surface,250,China,Asia,https://www.gem.wiki/Jilangde_open-pit_mine,44.181805,91.738652
Jilin Gol No. 2 Surface Mine,proposed,"Liaoning Tiefa Energy (27.82%), China Cinda Asset Management Company (12.18%), Liaoning Chuncheng Industry & Trade Group (35%), Beijing Fengjia Investment Company (25%)",Inner Mongolia Jilin Gol No. 2 Open Pit Mine Company,18,1529,lignite,thermal,surface,,China,Asia,https://www.gem.wiki/Jilin_Gol_No.2_surface_coal_mine,44.315907,117.252294
Jimsar Shuixigou Coal Mine,proposed,Weiwei Holdings Limited,Jimsar Weiwei Energy Development Company,1.5,,bituminous,thermal,underground,,China,Asia,,43.998427,89.190998
Jinbangde Coal Mine,operating,Shanxi Coking Coal Group,Shanxi Luliang Lishi Xishan Jinbangde Coal Industry Company,1.2,56,bituminous,met,underground,923,China,Asia,https://www.gem.wiki/Jinbangde_Coal_Mine,37.6163,111.087454
Jinbao Coal Mine,operating,Shanxi Xinzhou Shenda Energy Group,Shanxi Xinzhou Shenda Jinbao Coal Industry Company,1.8,110,bituminous,thermal,underground,554,China,Asia,https://www.gem.wiki/Jinbao_Coal_Mine,38.755574,111.120725
Jinbaotun Coal Mine,operating,Jilin Energy Investment Group,Liaoyuan Mining Group Jinbaotun Coal Mine,2.2,67,bituminous,thermal,underground,2480,China,Asia,https://www.gem.wiki/Jinbaotun_Coal_Mine,43.112948,123.367684
Jinbei Coal Mine,operating,Shanxi Coking Coal Group,Huozhou Coal and Electricity Group,1.2,28,bituminous,thermal_and_met,underground,1245,China,Asia,https://www.gem.wiki/Jinbei_Coal_Mine,38.292487,112.023697
Jinchen Coal Mine,operating,Shanxi Zezhou Tiantai Energy Company,Shanxi Zezhou Tiantai Jinchen Coal Industrial Company,1.2,34,anthracite,thermal,underground,1338,China,Asia,https://www.gem.wiki/Jinchen_Coal_Mine,35.657156,112.886942
Jinda Coal Mine,operating,Jinneng Group,Shanxi Coal Transportation and Marketing Group Luliang Company,1.8,45,bituminous,met,underground,306,China,Asia,https://www.gem.wiki/Jinda_Coal_Mine,36.957154,111.614859
Jinfeng Coal Mine,operating,"China Energy (51%), Others (49%)",National Energy Investment Group Ningxia Coal Industry Company,4,294,bituminous,thermal,underground,925,China,Asia,https://www.gem.wiki/Jinfeng_Coal_Mine,37.630109,106.849605
Jinfeng Cuncaota Coal Mine,operating,China Energy,China Shenhua Energy,4.5,150,bituminous,thermal,underground,547,China,Asia,https://www.gem.wiki/Cuncaota_Coal_Mine,39.487844,110.057498
Jingbao Coal Mine,operating,Jinneng Group,Shanxi Sanyuan Asset Management Company,1.2,46,bituminous,thermal,underground,753,China,Asia,https://www.gem.wiki/Jingbao_Coal_Mine,36.56157,112.979489
Jingfang Coal Mine,operating,"Shanxi Coking Coal Group （43%), Changzhi Shangdang District StateOwned Capital Investment Comp （25%), Other (32%)",Shanxi Changzhi Jingfang Coal Industry Company,3,299,bituminous,thermal,underground,3440,China,Asia,https://www.gem.wiki/Jingfang_Coal_Mine,36.058758,113.0476
Jingfu Bachigou Coal Mine,shelved,Fugu StateOwned Assets Management Bureau,Fugu StateOwned Assets Management Bureau,1.5,59,anthracite,thermal,underground,,China,Asia,https://www.gem.wiki/Jingfu_Bachigou_Coal_Mine,39.053177,111.076716
Jinggong No. 1 Coal Mine,operating,"China Coal (57%), HKSCC Nominees Limited (30%), Others (13%)",China Coal Pingshuo Group,10,122,bituminous,,underground,548,China,Asia,https://www.gem.wiki/Jinggong_No.1_Coal_Mine,39.446524,112.361964
Jinggong No. 3 Coal Mine,operating,"China Coal (57%), HKSCC Nominees Limited (30%), Others (13%)",China Coal Pingshuo Group,10,225,bituminous,,underground,723,China,Asia,https://www.gem.wiki/Jinggong_No.3_Coal_Mine,39.539072,112.326699
Jinglu Coal Mine,operating,Shanxi Boda Group,Shanxi Boda Group Shouyang Jinglu Coal Industry Company,1.2,54,anthracite,thermal,underground,860,China,Asia,https://www.gem.wiki/Jinglu_Coal_Mine,37.983032,113.230343
Jingtai Baiyanzi Coal Mine,proposed,Gansu Energy Chemical Investment Group,Jingtai Coal Industry Company,0.9,51,bituminous,thermal_and_met,underground,,China,Asia,,37.187574,103.957299
Jingwei Coal Mine,operating,Huangling Qinlong Company,Jungar Jingwei Coal Industry Company,3.6,31,bituminous,thermal,surface,65,China,Asia,https://www.gem.wiki/Jingwei_Coal_Mine,39.629959,110.283297
Jinhe Coal Mine,operating,Gansu Energy Chemical Investment Group,Lanzhou Yaojie Coal Power Company,1.2,1706,bituminous,thermal,underground,1905,China,Asia,https://www.gem.wiki/Jinhe_Coal_Mine,36.446724,102.873878
Jinhuagong Coal Mine,operating,Jinneng Group,Jinneng Coal Mine Group,3.4,87,bituminous,thermal,underground,6361,China,Asia,https://www.gem.wiki/Wuyang_Coal_Mine,40.109769,113.16219
Jinhui Longtai Coal Mine,operating,Jizhong Energy Group,Shanxi Jinhui Longtai Coal Industry Company,1.2,34,bituminous,met,underground,425,China,Asia,https://www.gem.wiki/Jinhui_Longtai_Coal_Mine,36.973205,112.135386
Jining Coal Mine,operating,Shanxi Coking Coal Group,Huajin Coking Coal Company,3,83,bituminous,met,underground,618,China,Asia,https://www.gem.wiki/Jining_Coal_Mine,35.802002,110.580986
Jining Gucheng Coal Mine,operating,Shandong Energy,Shandong Dongshan Gucheng Coal Mine Company,1.2,19,bituminous,met,underground,1695,China,Asia,https://www.gem.wiki/Jining_Gucheng_Coal_Mine,35.580114,116.838197
Jining No. 2 Coal Mine,operating,Shandong Energy,Yanzhou Coal Mining Company,3.9,70,bituminous,thermal,underground,3607,China,Asia,https://www.gem.wiki/Jining_No.2_Coal_Mine,35.358761,116.656872
Jining No. 3 Coal Mine,operating,"Shandong Energy (46%), HKSCC Nominees Limited (40%), Others (14%)",Yanzhou Coal Mining Company,6,121,bituminous,thermal,underground,2753,China,Asia,https://www.gem.wiki/Jining_No.3_Coal_Mine,35.274389,116.667245
Jinjia Coal Mine,operating,Guizhou Panjiang Coal and Electricity Group,Guizhou Panjiang Refined Coal Company,2.45,327,anthracite,thermal,underground,2922,China,Asia,https://www.gem.wiki/Jinjia_Coal_Mine,25.706641,104.489688
Jinjiaqu Coal Mine,operating,"China Energy (51%), Ningxia StateOwned Asset Operation Group (49%）",Shenhua Ningxia Coal Industry Group,4,336,bituminous,thermal_and_met,underground,1345,China,Asia,https://www.gem.wiki/Jinjiaqu_Coal_Mine,37.557738,106.866842
Jinjiazhuang Coal Mine,operating,Worldman Industrial (HK) Limited,Shanxi Liulin Jinjiazhuang Coal Industry Company,1.75,24,bituminous,met,underground,1607,China,Asia,https://www.gem.wiki/Jinjiazhuang_Coal_Mine,37.344011,110.932997
